time(s),Lead_I
0.0000,0.07186200
0.0020,-0.07327244
0.0040,-0.25448406
0.0060,-0.32794425
0.0080,-0.16959967
0.0100,0.06243423
0.0120,0.14526765
0.0140,-0.05026169
0.0160,-0.01448794
0.0180,-0.12419851
0.0200,-0.37707540
0.0220,-0.09090444
0.0240,-0.06737329
0.0260,-0.16951838
0.0280,-0.02468096
0.0300,-0.14701231
0.0320,-0.55628133
0.0340,-0.33926359
0.0360,-0.37683937
0.0380,-0.16005912
0.0400,0.18905061
0.0420,-0.33602777
0.0440,0.29473439
0.0460,-0.22287002
0.0480,0.09690854
0.0500,-0.19528764
0.0520,-0.04919386
0.0540,-0.31895667
0.0560,-0.01033998
0.0580,-0.06642714
0.0600,0.08436845
0.0620,0.48781437
0.0640,0.41255611
0.0660,-0.08731933
0.0680,0.00146133
0.0700,-0.21238990
0.0720,-0.42202893
0.0740,-0.28055546
0.0760,-0.22000296
0.0780,-0.26174995
0.0800,0.01700197
0.0820,-0.35875267
0.0840,-0.14654373
0.0860,0.06202382
0.0880,-0.39762393
0.0900,-0.13613257
0.0920,-0.44751954
0.0940,-0.17780085
0.0960,-0.12430108
0.0980,-0.07022390
0.1000,-0.13537663
0.1020,-0.00766910
0.1040,-0.00518573
0.1060,0.13631339
0.1080,-0.00525821
0.1100,0.08400799
0.1120,0.14443485
0.1140,0.24424854
0.1160,0.22247933
0.1180,0.17646055
0.1200,0.08724348
0.1220,-0.04094620
0.1240,-0.00679976
0.1260,0.07419731
0.1280,0.06688889
0.1300,0.04467769
0.1320,0.09733171
0.1340,-0.03991069
0.1360,0.06904411
0.1380,0.04132171
0.1400,0.11066545
0.1420,0.00116376
0.1440,0.15914723
0.1460,0.00380453
0.1480,-0.05079019
0.1500,-0.07358329
0.1520,-0.01093203
0.1540,0.00198975
0.1560,-0.12652378
0.1580,-0.03238853
0.1600,-0.05642533
0.1620,0.03181322
0.1640,-0.03368254
0.1660,-0.02951098
0.1680,0.04018928
0.1700,0.02014243
0.1720,-0.05711386
0.1740,0.07154723
0.1760,-0.02949109
0.1780,0.07870579
0.1800,-0.15650418
0.1820,0.01986344
0.1840,0.36153403
0.1860,0.24485640
0.1880,-0.03652097
0.1900,0.03201691
0.1920,0.02481567
0.1940,0.07464422
0.1960,0.03851661
0.1980,0.15967233
0.2000,0.05829006
0.2020,0.21895775
0.2040,0.15809628
0.2060,0.09315994
0.2080,0.27516639
0.2100,0.04805437
0.2120,0.15038012
0.2140,-0.16754533
0.2160,-0.06858321
0.2180,0.03243954
0.2200,0.00200208
0.2220,0.05830679
0.2240,0.19166544
0.2260,0.05197819
0.2280,0.01495993
0.2300,-0.15292180
0.2320,-0.00431950
0.2340,0.07571058
0.2360,-0.00520753
0.2380,0.11662234
0.2400,-0.12616949
0.2420,-0.04798315
0.2440,-0.15125658
0.2460,-0.05697129
0.2480,0.16452199
0.2500,-0.04732530
0.2520,-0.16662946
0.2540,-0.06435938
0.2560,0.23194396
0.2580,-0.03029490
0.2600,-0.11379358
0.2620,0.01233497
0.2640,0.05683682
0.2660,0.01561415
0.2680,0.07398452
0.2700,-0.16189539
0.2720,0.36441553
0.2740,0.40951926
0.2760,0.16875812
0.2780,0.39104733
0.2800,0.07486717
0.2820,0.02810037
0.2840,0.01570184
0.2860,0.05126915
0.2880,0.35760391
0.2900,0.17626728
0.2920,0.26618350
0.2940,0.18601318
0.2960,-0.26740229
0.2980,-0.57437730
0.3000,-0.28353506
0.3020,-0.32522202
0.3040,-0.17748168
0.3060,0.08731512
0.3080,-0.20798913
0.3100,-0.09580471
0.3120,-0.16004288
0.3140,-0.11726909
0.3160,0.15144473
0.3180,-0.33179340
0.3200,0.33893088
0.3220,0.05393275
0.3240,-0.07891760
0.3260,-0.29352468
0.3280,-0.27644652
0.3300,-0.31352296
0.3320,-0.68891579
0.3340,-0.08435047
0.3360,-0.12603283
0.3380,0.19344281
0.3400,0.38921154
0.3420,-0.40685523
0.3440,-0.43984541
0.3460,-0.09178308
0.3480,-0.45416713
0.3500,-0.17809850
0.3520,-0.00169246
0.3540,-0.02138904
0.3560,0.23834875
0.3580,-0.33132458
0.3600,0.03474902
0.3620,-0.34283477
0.3640,0.10571344
0.3660,0.15936843
0.3680,0.73814666
0.3700,0.40105322
0.3720,0.42173794
0.3740,0.29504240
0.3760,0.46287462
0.3780,0.42385775
0.3800,0.03275486
0.3820,-0.00695041
0.3840,-0.01498419
0.3860,-0.02660499
0.3880,0.03928383
0.3900,-0.07381000
0.3920,0.06248965
0.3940,0.19472864
0.3960,-0.02903682
0.3980,-0.16604708
0.4000,0.16108654
0.4020,0.17861038
0.4040,0.02520536
0.4060,-0.07092940
0.4080,-0.08025742
0.4100,0.27513534
0.4120,0.12024374
0.4140,0.19378717
0.4160,-0.16516046
0.4180,-0.08151741
0.4200,-0.13493368
0.4220,-0.02107134
0.4240,0.03844835
0.4260,-0.04606941
0.4280,0.17321284
0.4300,-0.00510857
0.4320,-0.14690761
0.4340,-0.33539012
0.4360,-0.08629753
0.4380,0.01982878
0.4400,-0.09665101
0.4420,-0.16064115
0.4440,0.20274019
0.4460,0.16504937
0.4480,0.02235151
0.4500,0.23828609
0.4520,0.09657274
0.4540,-0.08224325
0.4560,-0.12767111
0.4580,0.01431075
0.4600,-0.15930973
0.4620,0.02710767
0.4640,-0.08492312
0.4660,-0.44312569
0.4680,-0.55820924
0.4700,0.00121390
0.4720,-0.15987961
0.4740,0.00951112
0.4760,0.11446630
0.4780,-0.34806371
0.4800,0.01640803
0.4820,-0.03409606
0.4840,0.15144356
0.4860,-0.17668761
0.4880,0.02028636
0.4900,-0.13627665
0.4920,-0.15960528
0.4940,-0.16323510
0.4960,-0.02464821
