time(s),Lead_I
0.0000,-0.33164436
0.0020,-0.79658753
0.0040,-0.77778858
0.0060,-0.64891636
0.0080,-0.65904278
0.0100,-0.24446464
0.0120,-0.43399447
0.0140,-0.05098015
0.0160,-0.42451864
0.0180,-0.46491081
0.0200,-0.37141275
0.0220,-0.17681769
0.0240,0.45446154
0.0260,-0.06081390
0.0280,0.43072584
0.0300,0.36500740
0.0320,0.21091303
0.0340,-0.87842733
0.0360,-0.70191699
0.0380,-0.64311016
0.0400,-0.18879616
0.0420,-0.27897489
0.0440,-0.18032093
0.0460,-0.07103929
0.0480,-0.26683146
0.0500,0.03979152
0.0520,0.15134315
0.0540,0.14471574
0.0560,1.00000000
0.0580,-0.10393178
0.0600,-0.10116956
0.0620,0.26761439
0.0640,-0.08380785
0.0660,-0.21219504
0.0680,0.04201828
0.0700,0.12267532
0.0720,0.08338588
0.0740,0.10852740
0.0760,0.24808405
0.0780,0.38605148
0.0800,-0.04574889
0.0820,-0.36454028
0.0840,-0.33509690
0.0860,0.00887977
0.0880,-0.53977454
0.0900,-0.36996713
0.0920,-0.00359133
0.0940,-0.09728432
0.0960,0.85368347
0.0980,0.39358225
0.1000,0.08475193
0.1020,0.25762409
0.1040,0.10995504
0.1060,0.83289421
0.1080,1.00000000
0.1100,0.74194759
0.1120,0.61229068
0.1140,-0.58594358
0.1160,-0.20083083
0.1180,-0.18918875
0.1200,-0.09295054
0.1220,-0.00018633
0.1240,0.26760158
0.1260,0.07043066
0.1280,-0.01322101
0.1300,0.12168113
0.1320,0.35373867
0.1340,0.17416576
0.1360,0.22750488
0.1380,0.10548942
0.1400,0.07689814
0.1420,0.03210998
0.1440,0.33052081
0.1460,0.33965322
0.1480,0.42924455
0.1500,0.38628545
0.1520,0.25246948
0.1540,0.10410392
0.1560,0.07735620
0.1580,-0.09971855
0.1600,0.11586118
0.1620,-0.10629655
0.1640,0.33064729
0.1660,-0.00404453
0.1680,-0.13503650
0.1700,0.09835794
0.1720,0.20988131
0.1740,0.14833234
0.1760,0.24263005
0.1780,0.13880049
0.1800,-0.01833598
0.1820,-0.07252226
0.1840,-0.07715774
0.1860,-0.45997831
0.1880,-0.17981789
0.1900,0.29770526
0.1920,0.71747649
0.1940,0.23538364
0.1960,0.13175952
0.1980,-0.55922842
0.2000,-0.16189845
0.2020,-0.01911750
0.2040,0.03827868
0.2060,-0.02116773
0.2080,-0.17390023
0.2100,0.16829878
0.2120,0.01784131
0.2140,0.32976848
0.2160,0.65523303
0.2180,0.48876730
0.2200,0.28907800
0.2220,0.26010370
0.2240,0.09636859
0.2260,0.81744212
0.2280,0.48779187
0.2300,0.13120234
0.2320,-0.17152706
0.2340,0.08337292
0.2360,0.02753461
0.2380,0.49766594
0.2400,0.46641177
0.2420,0.80087143
0.2440,-0.08449935
0.2460,-0.28932104
0.2480,0.65515316
0.2500,-0.00916156
0.2520,-0.01584772
0.2540,-0.30466706
0.2560,-0.14091140
0.2580,0.08188957
0.2600,-0.55629325
0.2620,0.12468097
0.2640,0.02682161
0.2660,0.94688135
0.2680,0.73589253
0.2700,0.27626443
0.2720,-0.37100834
0.2740,-0.31823865
0.2760,-0.95966953
0.2780,-0.23480637
0.2800,-0.37759292
0.2820,-0.79985040
0.2840,-0.99685484
0.2860,-0.59813231
0.2880,-0.33331370
0.2900,0.00174512
0.2920,-0.13082820
0.2940,0.02533635
0.2960,-0.11216320
0.2980,-0.17903443
0.3000,0.06137370
0.3020,-0.24895865
0.3040,-0.13043891
0.3060,-0.68358874
0.3080,0.14257820
0.3100,-0.11996853
0.3120,-0.24395506
0.3140,-0.01214159
0.3160,0.23667029
0.3180,0.20697580
0.3200,0.45496106
0.3220,0.34881014
0.3240,0.33437982
0.3260,0.62768191
0.3280,0.00899641
0.3300,-0.48021027
0.3320,0.11526287
0.3340,-0.29740822
0.3360,-0.03009271
0.3380,-0.04041889
0.3400,0.78129935
0.3420,0.29594594
0.3440,-0.16388464
0.3460,-0.49306202
0.3480,-0.63170862
0.3500,-0.52289677
0.3520,-0.56453890
0.3540,-0.06416153
0.3560,-0.05701944
0.3580,0.48778600
0.3600,-0.06475315
0.3620,-0.18418719
0.3640,0.47652379
0.3660,0.39991838
0.3680,0.25793836
0.3700,-0.03523404
0.3720,-0.16709732
0.3740,-0.27187043
0.3760,0.20137818
0.3780,0.11014075
0.3800,0.06790521
0.3820,0.03439069
0.3840,-0.39939150
0.3860,-0.39478216
0.3880,-0.44040492
0.3900,-0.02184995
0.3920,-0.05540445
0.3940,-0.10972489
0.3960,-0.27846020
0.3980,0.18510349
0.4000,-0.41245952
0.4020,0.04603689
0.4040,0.01990032
0.4060,-0.00437225
0.4080,0.42938307
0.4100,0.07698933
